instance_id,repo_name,num_changed_files,scope_size,primary_files,secondary_files,direct_imports,num_files_analyzed,num_context_files,dfg_ged_sum,dfg_ged_avg,dfg_ged_max,ast_ged_sum,ast_ged_avg,ast_ged_max,cfg_ged_sum,cfg_ged_avg,cfg_ged_max,analysis_time,has_errors
django__django-11099,django_django,1,44,36,5,3,44,43,576.5,14.060975609756097,98.5,0,0.0,0,0.0,0.0,0.0,19.009319305419922,False
django__django-11119,django_django,1,34,26,5,3,34,33,483.5,15.109375,94.5,5,0.15625,5,63.0,1.96875,26.0,40.244138956069946,False
django__django-11133,django_django,1,17,5,5,7,17,16,312.0,20.8,86.0,5,0.3333333333333333,5,10.5,0.7,10.5,17.637173891067505,False
django__django-11138,django_django,4,70,54,5,11,70,66,1697.5,27.379032258064516,229.5,169,2.725806451612903,68,16.0,0.25806451612903225,16.0,87.30381107330322,False
django__django-11141,django_django,1,26,20,5,1,26,25,517.0,19.884615384615383,106.0,69,2.6538461538461537,69,0.0,0.0,0.0,65.81026887893677,False
django__django-11149,django_django,1,60,30,5,25,60,59,1087.0,19.410714285714285,380.0,184,3.2857142857142856,184,60.5,1.0803571428571428,21.0,203.86400485038757,False
django__django-11163,django_django,1,20,9,5,6,20,19,246.0,12.3,86.0,5,0.25,5,49.5,2.475,21.0,119.16514420509338,False
django__django-11179,django_django,1,43,37,5,1,43,42,737.0,17.13953488372093,78.5,15,0.3488372093023256,15,39.5,0.9186046511627907,21.0,330.24980664253235,False
django__django-11206,django_django,1,52,46,5,1,52,51,1037.5,20.34313725490196,86.0,39,0.7647058823529411,39,21.0,0.4117647058823529,10.5,31.572109937667847,False
django__django-11211,django_django,1,56,37,5,14,56,55,912.0,16.88888888888889,78.5,23,0.42592592592592593,23,39.5,0.7314814814814815,21.0,339.3381381034851,False
django__django-11239,django_django,1,59,54,5,0,59,58,895.5,17.221153846153847,89.5,96,1.8461538461538463,96,16.0,0.3076923076923077,16.0,60.51449990272522,False
django__django-11265,django_django,1,47,37,5,5,47,46,1288.0,27.404255319148938,447.0,53,1.127659574468085,53,39.5,0.8404255319148937,21.0,333.1335518360138,False
django__django-11276,django_django,1,52,46,5,1,52,51,1094.5,21.46078431372549,109.5,83,1.6274509803921569,83,21.5,0.4215686274509804,10.5,30.949129819869995,False
django__django-11292,django_django,1,41,30,5,6,41,40,659.5,16.91025641025641,89.5,23,0.5897435897435898,23,0.0,0.0,0.0,28.656350135803223,False
django__django-11299,django_django,1,47,37,5,5,47,46,842.0,17.914893617021278,78.5,2,0.0425531914893617,2,39.5,0.8404255319148937,21.0,332.1440918445587,False
django__django-11333,django_django,2,23,7,5,11,23,21,675.0,30.681818181818183,254.0,33,1.5,32,12.0,0.5454545454545454,10.5,18.086665868759155,False
django__django-11400,django_django,3,86,67,5,14,86,83,1889.0,23.320987654320987,665.5,149,1.8395061728395061,66,52.5,0.6481481481481481,21.0,450.48958802223206,False
django__django-11433,django_django,1,20,9,5,6,20,19,792.0,39.6,546.0,23,1.15,23,49.5,2.475,21.0,124.24107074737549,False
django__django-11451,django_django,1,42,36,5,1,42,41,624.5,15.6125,98.5,14,0.35,14,0.0,0.0,0.0,18.328569173812866,False
